journal;volume;year;isbn;pages
IEICE Electron. Express;18;2021;0-646-58772-2;216
Bull. EATCS;129;2019;1-5288-2184-X;333
CoRR;abs/1602.02617;2016;1-311-02502-2;358
IEEE Trans. Computers;41;1992;1-80981-924-5;152
CoRR;abs/2102.11478;2021;1-323-23300-8;325
Ann. Math. Artif. Intell.;12;1994;0-200-98237-0;232
J. Econ. Theory;157;2015;1-177-95466-4;270
IEEE Internet Comput.;3;1999;0-449-65504-0;165
Qual. Reliab. Eng. Int.;33;2017;1-69837-472-0;210
Optim. Methods Softw.;19;2004;0-487-07349-5;279
Int. J. Game Theory;39;2010;1-04-978958-X;316
Int. J. Bifurc. Chaos;17;2007;0-04-074613-5;195
Comput. Secur.;79;2018;1-08-712672-X;158
Math. Log. Q.;33;1987;1-234-05806-5;242
Res. Comput. Sci.;126;2016;1-5203-8058-5;121
Cogn. Syst. Res.;56;2019;0-18-279063-0;153
CoRR;abs/2008.03620;2020;1-74537-815-4;312
Ann. Math. Artif. Intell.;44;2005;1-9858-8623-5;111
Artif. Intell.;59;1993;1-148-92474-4;190
SIAM J. Control. Optim.;50;2012;1-4203-3659-2;353
Inf. Syst.;30;2005;1-928034-09-8;281
CoRR;abs/2107.14082;2021;1-82075-193-7;260
Wirtschaftsinformatik Manag.;12;2020;1-242-46856-0;239
IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.;39;2020;0-7114-1788-1;143
Soc. Networks;33;2011;1-148-82473-1;333
Ann. Oper. Res.;152;2007;0-691-99467-6;309
Int. J. Internet Protoc. Technol.;14;2021;1-68994-869-8;130
Auton. Robots;9;2000;0-233-20353-2;228
D Lib Mag.;20;2014;0-8187-0081-5;210
Int. J. Math. Math. Sci.;2013;2013;0-310-73524-6;234
CoRR;abs/2009.09801;2020;0-297-46739-5;328
Neurocomputing;38-40;2001;0-522-18750-1;194
Proc. ACM Comput. Graph. Interact. Tech.;2;2019;1-299-46110-7;259
CoRR;abs/2106.06828;2021;0-9524085-0-3;196
SIAM J. Optim.;14;2004;0-08-591618-8;378
Comput. Law Secur. Rev.;30;2014;1-71748-167-1;359
Scalable Comput. Pract. Exp.;19;2018;0-624-79438-5;275
Neurocomputing;75;2012;1-957079-42-8;145
BMC Bioinform.;14;2013;0-699-10875-6;366
IEEE Trans. Signal Inf. Process. over Networks;2;2016;1-361-72693-8;103
CoRR;abs/1211.2245;2012;1-968962-88-3;386
IEEE Trans. Computers;21;1972;1-4652-5586-9;110
Electron. Commer. Res. Appl.;2;2003;1-4495-7817-9;295
CoRR;abs/1708.04622;2017;0-19-073183-4;131
J. Artif. Intell. Res.;48;2013;1-4533-9491-5;165
Vis. Comput.;29;2013;1-68172-052-3;123
IEEE Trans. Fuzzy Syst.;5;1997;0-00-643247-6;346
J. Comput. Chem.;20;1999;0-8348-6151-8;294
CoRR;abs/2111.06075;2021;0-206-07040-3;268
J. Chem. Inf. Model.;45;2005;0-273-37307-2;262
Adv. Robotics;27;2013;0-04-852873-0;282
Computer;51;2018;0-458-54453-1;172
CoRR;abs/1908.05656;2019;0-625-95483-1;319
CoRR;abs/2111.02257;2021;1-5413-8185-8;256
Math. Log. Q.;37;1991;1-63522-416-0;122
CoRR;abs/1702.06645;2017;0-277-92961-X;139
CoRR;abs/2103.15760;2021;1-101-90296-5;254
CoRR;abs/2012.10866;2020;1-68824-437-9;235
CoRR;abs/2108.12137;2021;0-264-15773-7;296
SIAM J. Optim.;25;2015;0-404-68505-6;186
CoRR;abs/1706.04721;2017;0-517-28994-6;197
IEEE Robotics Autom. Lett.;7;2022;0-520-36197-0;328
J. Comput. Phys.;334;2017;1-58639-109-7;393
J. Netw. Comput. Appl.;116;2018;1-56248-877-5;174
CoRR;abs/2011.08649;2020;1-251-19604-7;369
Ad Hoc Networks;128;2022;0-339-34487-3;152
IEEE Trans. Inf. Theory;67;2021;1-307-45719-3;211
Signal Image Video Process.;7;2013;0-7540-6180-9;368
OOPS Messenger;5;1994;0-7469-2342-2;379
Comput. Chem.;12;1988;0-309-23039-X;206
J. Lang. Model.;1;2013;1-67463-063-8;230
Math. Program.;83;1998;1-318-65288-X;212
Finance Stochastics;17;2013;0-01-730510-1;229
SIAM Rev.;53;2011;1-81509-084-7;102
J. Comput. Phys.;378;2019;1-83548-859-5;296
Comput. Electr. Eng.;59;2017;0-7464-3998-9;236
Microelectron. Reliab.;53;2013;1-05-930605-0;386
Hum. Factors;44;2002;0-491-97037-4;191
Trans. SDPS;8;2004;1-83959-432-2;177
J. Graph Theory;10;1986;1-281-01401-X;305
CoRR;abs/1412.2433;2014;1-217-08450-9;166
Fuzzy Sets Syst.;119;2001;1-55069-770-6;171
Neurocomputing;169;2015;0-16-915508-0;400
J. Vis. Commun. Image Represent.;41;2016;0-927751-79-8;184
Comput. Electr. Eng.;87;2020;1-322-33417-X;291
IGTR;17;2015;1-4111-5213-1;296
Int. J. Web Grid Serv.;4;2008;1-391-95943-4;314
Pattern Recognit.;16;1983;0-298-98998-0;184
Neurocomputing;422;2021;1-81605-626-X;385
Neural Comput.;27;2015;0-431-76988-5;359
IEEE Data Eng. Bull.;33;2010;1-4831-9549-X;393
CoRR;abs/1303.3533;2013;1-76820-323-7;396
Simul.;96;2020;0-924076-47-X;229
IEEE Distributed Syst. Online;8;2007;0-915555-79-4;245
CoRR;cs.CL/0107017;2001;0-303-71206-6;198
CoRR;abs/0907.4488;2009;0-7632-2923-7;143
Int. J. Syst. Serv. Oriented Eng.;6;2016;1-75437-951-6;169
Proc. IEEE;106;2018;0-449-97164-3;108
ACM SIGAPL APL Quote Quad;26;1995;1-368-04641-X;264
CoRR;abs/2108.13340;2021;1-394-29762-9;214
Inf. Fusion;14;2013;1-998602-13-3;137
IEEE Trans. Vis. Comput. Graph.;10;2004;0-918451-61-2;369
CoRR;abs/0908.2496;2009;1-58975-025-X;120
CoRR;abs/2012.02652;2020;1-167-02546-6;151
Scientometrics;66;2006;0-02-368792-4;313
CoRR;abs/1905.13221;2019;1-876258-21-7;322
CoRR;abs/2104.08741;2021;0-09-828340-5;205
CoRR;cs.LO/0106027;2001;0-7393-4254-1;222
Theor. Comput. Sci.;424;2012;1-930510-64-0;124
Microelectron. J.;50;2016;1-108-27813-2;317
J. Oper. Res. Soc.;51;2000;1-941073-92-1;270
Neurocomputing;349;2019;1-70982-290-2;276
IEEE Trans. Pattern Anal. Mach. Intell.;11;1989;1-5484-7358-8;113
IEEE Trans. Syst. Man Cybern.;10;1980;0-7553-9921-8;219
J. Comput. Inf. Syst.;47;2006;0-9643742-1-8;101
IEEE J. Sel. Areas Commun.;17;1999;1-910333-39-5;275
IEEE Trans. Syst. Man Cybern. Part B;27;1997;1-71519-061-0;261
J. Comb. Theory, Ser. A;95;2001;1-7399271-2-5;381
CoRR;abs/2111.11503;2021;0-380-14780-7;199
IEEE Trans. Intell. Transp. Syst.;14;2013;0-696-78610-9;185
IEEE Trans. Medical Imaging;25;2006;1-85849-541-5;358
EURASIP J. Wirel. Commun. Netw.;2017;2017;1-63422-352-7;377
Rev. Avances en Sistemas Informática;6;2009;1-81757-490-6;345
Decis. Sci.;43;2012;0-09-066152-4;143
J. Commun. Networks;18;2016;1-4552-7950-1;343
Publ.;4;2016;1-240-04199-3;398
Ind. Manag. Data Syst.;100;2000;1-69531-040-3;164
SIAM J. Sci. Comput.;24;2003;1-9850-4842-6;223
CoRR;abs/1803.08111;2018;1-4257-1749-7;265
Int. J. Crit. Comput. Based Syst.;2;2011;0-673-40646-6;296
CoRR;abs/0901.0536;2009;0-343-03861-7;265
Database J. Biol. Databases Curation;2015;2015;0-09-350428-4;377
Neural Comput. Appl.;23;2013;0-660-20884-9;159
CoRR;abs/2009.14165;2020;0-06-504750-8;223
J. Manag. Inf. Syst.;23;2007;0-02-990672-5;269
ACM SIGSOFT Softw. Eng. Notes;40;2015;1-919752-71-4;320
J. Univers. Comput. Sci.;5;1999;0-411-37375-7;390
Transp. Sci.;50;2016;1-5023-4578-1;165
Neurocomputing;312;2018;1-77867-951-X;223
CoRR;abs/1411.5849;2014;0-05-229002-6;289
Int. J. Crit. Infrastructures;2;2006;0-10-443235-7;257
Int. J. Medical Informatics;63;2001;0-8349-2595-8;294
CoRR;abs/2103.01623;2021;1-56304-676-8;230
Appl. Algebra Eng. Commun. Comput.;10;2000;1-9793-1263-X;279
Prax. Inf.verarb. Kommun.;33;2010;1-915884-66-7;279
CoRR;abs/1905.04051;2019;1-76144-594-4;295
Int. J. Interact. Mob. Technol.;6;2012;1-255-98648-4;155
IEEE Trans. Hum. Mach. Syst.;48;2018;1-08-027366-2;216
Internet Res.;6;1996;1-5457-3345-7;366
Fundam. Informaticae;113;2011;1-896885-05-5;250
J. Cloud Comput.;5;2016;1-933465-00-X;295
CoRR;abs/1402.3175;2014;0-7975-8291-6;192
Brain Connect.;12;2022;1-7328098-1-X;272
J. Netw. Comput. Appl.;38;2014;0-655-98532-8;223
Online Inf. Rev.;45;2021;1-67620-756-2;318
RFC;2708;1999;0-8165-5335-1;156
IEEE Trans. Syst. Man Cybern.;3;1973;0-04-593717-6;331
World Wide Web;4;2001;0-15-919513-6;297
Adv. Multim.;2007;2007;1-4407-6320-8;143
J. Comb. Optim.;39;2020;0-08-911641-0;241
CoRR;abs/1807.02941;2018;1-65023-362-0;173
Expert Syst. Appl.;180;2021;1-142-76486-9;170
CoRR;abs/1909.05830;2019;0-275-25681-2;379
CoRR;abs/2107.06591;2021;0-14-970039-3;361
Bull. EATCS;24;1984;1-58377-658-3;246
CoRR;abs/1502.03126;2015;1-950373-48-7;336
Inf. Sci.;474;2019;0-85594-386-6;208
CoRR;abs/1809.08076;2018;0-581-18363-0;225
IRE Trans. Inf. Theory;2;1956;1-9754-7322-1;297
Int. J. Inf. Manag.;49;2019;1-321-25741-4;344
Cyberpsychology Behav. Soc. Netw.;17;2014;0-00-993619-X;324
CoRR;abs/1706.04372;2017;1-68224-800-3;318
IEEE Trans. Medical Imaging;20;2001;0-8043-3297-5;270
ACM SIGPLAN Notices;17;1982;0-699-56538-3;221
Signal Process. Image Commun.;53;2017;1-4968-9135-X;142
Sci. China Inf. Sci.;60;2017;0-7877-4218-X;123
J. Electr. Comput. Eng.;2019;2019;1-56155-132-5;297
Inf. Process. Lett.;136;2018;0-7718-9889-4;246
CoRR;abs/1708.02072;2017;0-7954-0300-3;156
Pattern Recognit. Lett.;54;2015;1-5010-8594-8;222
Comput. Syst. Sci. Eng.;5;1990;0-02-086071-4;136
J. Virtual Real. Broadcast.;5;2008;0-85649-500-X;153
CoRR;abs/2108.06500;2021;1-107-72471-6;391
Algorithms Mol. Biol.;5;2010;0-09-028652-9;145
ACM Trans. Sens. Networks;9;2013;1-08-745452-2;189
EURASIP J. Wirel. Commun. Netw.;2015;2015;1-80010-872-9;256
CoRR;abs/1301.6484;2013;0-912337-36-2;279
CoRR;abs/1811.00742;2018;0-8054-1719-2;176
Comput. Complex.;30;2021;0-03-489483-7;103
IT Prof.;6;2004;1-389-78834-2;211
CoRR;abs/1911.00639;2019;0-16-166083-5;126
Appl. Math. Comput.;121;2001;1-348-81740-2;159
CoRR;abs/1111.4582;2011;1-4266-2786-6;379
Inf. Syst. Res.;27;2016;1-213-89603-7;228
CoRR;abs/1802.05335;2018;0-311-10808-3;237
Pattern Recognit.;31;1998;0-687-29075-9;215
Int. J. Uncertain. Fuzziness Knowl. Based Syst.;8;2000;1-996306-96-0;248
ACM Trans. Program. Lang. Syst.;40;2018;1-00-229307-3;359
Reliab. Eng. Syst. Saf.;208;2021;1-67494-627-9;368
Reliab. Eng. Syst. Saf.;214;2021;1-4565-2376-7;140
CoRR;abs/2108.11308;2021;1-67081-378-9;347
CoRR;abs/2106.12178;2021;0-699-94877-0;332
Networks;67;2016;1-70909-181-9;146
Theor. Comput. Sci.;699;2017;1-110-54863-X;271
CoRR;abs/1509.02267;2015;0-00-340748-9;393
CoRR;abs/2106.11375;2021;1-273-71552-7;266
J. Networks;3;2008;1-393-38710-1;175
Inteligencia Artif.;11;2007;1-377-83645-2;271
J. Simulation;14;2020;1-393-41903-8;343
J. Autom. Reason.;4;1988;1-56940-451-8;100
ACM Trans. Comput. Hum. Interact.;10;2003;0-7994-2803-5;328
CoRR;abs/1909.00273;2019;1-00-153728-9;295
Comput. Biol. Medicine;41;2011;0-89615-667-2;258
Math. Control. Signals Syst.;8;1995;1-162-69347-9;356
Stud Logica;44;1985;1-216-11250-9;107
Int. J. Cyber Behav. Psychol. Learn.;6;2016;1-4164-0070-2;177
CoRR;abs/2108.07387;2021;1-901072-21-5;340
Int. J. Distributed Sens. Networks;7;2011;0-9768543-0-9;366
Cogn. Sci.;14;1990;0-599-36236-7;354
CoRR;abs/1904.05453;2019;1-08-069697-0;286
Pac. Asia J. Assoc. Inf. Syst.;7;2015;1-912196-10-7;280
MIS Q.;34;2010;0-310-90858-2;258
Robotics Auton. Syst.;35;2001;1-78414-946-2;160
IEEE Internet Comput.;6;2002;0-347-36612-0;169
SIAM J. Matrix Anal. Appl.;36;2015;1-66797-621-4;279
First Monday;12;2007;0-85817-307-7;389
CoRR;abs/cs/0502028;2005;0-551-26112-9;149
J. Adv. Comput. Intell. Intell. Informatics;10;2006;0-213-67819-5;139
NeuroImage;42;2008;1-929801-98-X;183
Queueing Syst. Theory Appl.;34;2000;1-9870-4876-8;213
CoRR;abs/1306.1110;2013;0-498-03085-7;202
Comput. Hum. Behav.;98;2019;0-507-44573-2;387
CoRR;abs/2109.04940;2021;0-422-40144-7;249
IBM J. Res. Dev.;23;1979;1-158-26003-2;388
CoRR;abs/2006.01456;2020;1-213-39536-4;162
CoRR;abs/1602.07265;2016;0-8201-7762-8;182
ACM Trans. Database Syst.;21;1996;1-66219-356-4;150
SIGMOD Rec.;18;1989;1-167-27296-X;192
CoRR;abs/1612.04668;2016;0-02-049357-6;334
Inf. Process. Lett.;98;2006;1-309-02348-4;199
Int. J. Bifurc. Chaos;26;2016;1-259-61764-5;114
Bus. Process. Manag. J.;27;2021;1-85246-677-4;374
Int. J. Syst. Serv. Oriented Eng.;2;2011;1-4602-8268-X;226
CoRR;abs/2110.11779;2021;1-64988-434-6;362
CoRR;abs/1912.00120;2019;1-4097-2805-6;336
CoRR;abs/1701.05699;2017;0-900860-48-0;157
Cybern. Hum. Knowing;21;2014;1-326-61384-7;201
CoRR;abs/1208.3689;2012;0-15-589316-5;242
Comput. Commun. Rev.;35;2004;1-286-48961-X;312
MIS Q.;15;1991;1-5269-5233-5;300
Int. J. Wirel. Inf. Networks;24;2017;1-08-790157-X;252
Interact. Learn. Environ.;10;2002;1-954395-86-8;373
Pattern Recognit. Lett.;130;2020;0-540-51701-1;340
J. Parallel Distributed Comput.;107;2017;1-370-35500-9;373
IEEE Trans. Biomed. Eng.;63;2016;1-74369-945-X;259
Comput. Commun.;26;2003;0-01-458487-5;375
Appl. Intell.;51;2021;1-65694-433-2;135
J. Biomed. Informatics;82;2018;1-311-95069-9;121
Mach. Learn.;30;1998;0-8180-5913-3;177
Math. Log. Q.;59;2013;1-77642-762-9;148
Finance Stochastics;18;2014;0-10-139613-9;187
IEEE Veh. Technol. Mag.;16;2021;1-07-157109-5;282
Int. J. Bus. Inf. Syst.;8;2011;1-63377-065-6;192
CoRR;abs/2111.12083;2021;0-05-026272-6;289
CoRR;abs/2109.09119;2021;0-07-608007-2;223
CoRR;abs/1311.7442;2013;0-7916-4800-1;374
IEEE Trans. Computers;28;1979;1-84761-508-2;146
Games Econ. Behav.;83;2014;1-84712-128-4;182
Neurocomputing;471;2022;0-86264-926-9;217
Comput. Animat. Virtual Worlds;15;2004;1-116-79550-7;269
Expert Syst. Appl.;132;2019;0-09-300908-9;270
ReCALL;23;2011;1-77914-290-0;212
CoRR;abs/2101.09009;2021;0-7789-3333-4;115
J. Philos. Log.;29;2000;1-947098-28-4;244
IEEE J. Sel. Top. Signal Process.;2;2008;1-4975-1458-4;364
Medical Image Anal.;17;2013;0-425-87907-0;278
J. Philos. Log.;2;1973;1-874346-50-X;156
CoRR;abs/2005.09916;2020;0-213-18923-2;246
CoRR;abs/1608.02087;2016;1-139-12134-0;178
Ubiquity;2004;2004;1-58824-126-2;157
Math. Comput. Model.;46;2007;0-622-92868-6;308
Model. Assist. Stat. Appl.;8;2013;0-235-75546-X;253
CoRR;abs/1407.4879;2014;0-491-60555-2;370
Comput. Graph.;11;1987;0-256-19330-4;118
J. Log. Algebraic Methods Program.;108;2019;1-959492-37-3;146
SIAM J. Control. Optim.;49;2011;0-89257-797-5;341
CoRR;abs/1112.5588;2011;1-57592-559-1;296
Inteligencia Artif.;13;2009;1-396-30698-6;250
CoRR;abs/1302.0739;2013;0-912455-33-0;323
Kybernetes;40;2011;0-7140-9568-0;379
Comput. Graph. Forum;3;1984;1-198-07766-2;371
Commun. Assoc. Inf. Syst.;36;2015;0-541-31154-9;166
Electron. Notes Theor. Comput. Sci.;199;2008;1-07-576226-X;397
Wirel. Pers. Commun.;92;2017;1-58876-313-7;385
Int. J. Secur. Networks;8;2013;0-06-126911-5;376
IEICE Trans. Fundam. Electron. Commun. Comput. Sci.;88-A;2005;0-9689538-4-0;213
CoRR;abs/1912.05617;2019;0-540-82552-2;234
J. Vis. Commun. Image Represent.;66;2020;0-454-99112-6;390
J. Comput. Syst. Sci.;50;1995;1-4626-6939-5;324
CoRR;abs/2202.08834;2022;0-685-87793-0;106
CoRR;abs/1501.05031;2015;1-878199-21-8;229
Turkish J. Electr. Eng. Comput. Sci.;26;2018;1-874181-70-5;127
Reliab. Eng. Syst. Saf.;107;2012;0-536-95733-9;371
Arch. Math. Log.;40;2001;0-528-42015-1;296
Vis. Comput.;30;2014;1-892737-58-2;343
CoRR;abs/2008.05903;2020;0-10-352528-9;178
CoRR;abs/2202.01869;2022;1-100-69712-8;379
J. Algorithms;48;2003;1-112-08920-9;146
J. Nonlinear Sci.;17;2007;0-17-378125-X;180
Int. J. Swarm Intell. Res.;4;2013;1-320-10221-2;353
J. Comput. Assist. Learn.;37;2021;1-62080-950-8;217
Int. J. Comput. Support. Collab. Learn.;9;2014;1-85482-597-6;377
Cryptologia;44;2020;1-965862-17-9;257
CoRR;abs/1310.0100;2013;1-965028-66-7;238
Secur. Commun. Networks;1;2008;0-474-82876-X;137
Int. J. Appl. Earth Obs. Geoinformation;11;2009;1-60875-024-8;283
Appl. Artif. Intell.;27;2013;0-452-43364-9;217
Comput. Networks;36;2001;1-83526-490-5;221
J. Graph Algorithms Appl.;16;2012;0-503-63774-2;310
Int. J. Model. Identif. Control.;3;2008;0-85852-778-2;343
Future Gener. Comput. Syst.;87;2018;0-8186-4386-2;320
IEEE/ACM Trans. Netw.;16;2008;1-64913-894-6;280
Comput. Lang.;7;1982;0-318-66581-6;123
CoRR;abs/cs/0702043;2007;0-07-975994-7;128
Comput. Phys. Commun.;183;2012;0-225-08756-1;177
J. Am. Medical Informatics Assoc.;9;2002;1-02-660002-2;388
CoRR;abs/1810.05017;2018;0-242-35512-9;374
J. Grid Comput.;8;2010;0-8366-6438-8;325
Int. J. Comput. Vis.;114;2015;0-07-432115-3;319
Comput. Oper. Res.;109;2019;0-7156-8303-9;119
IEEE Trans. Software Eng.;30;2004;1-5110-0691-9;179
Ingénierie des Systèmes d Inf.;14;2009;0-85903-895-5;152
CoRR;abs/1906.04291;2019;0-315-95743-3;393
CoRR;abs/2006.11206;2020;1-274-15350-6;358
Comput. Electr. Eng.;57;2017;0-471-63510-3;158
J. Chem. Inf. Model.;61;2021;0-88573-358-4;217
Commun. ACM;52;2009;1-944506-17-9;236
Discret. Math.;147;1995;1-83061-253-0;140
IEEE Trans. Intell. Transp. Syst.;11;2010;0-05-369688-3;254
Syst. Control. Lett.;61;2012;0-281-84518-2;280
Fuzzy Sets Syst.;317;2017;1-269-39193-3;246
Appl. Soft Comput.;107;2021;0-215-47271-3;270
J. Supercomput.;71;2015;0-8202-6117-3;142
CoRR;abs/0910.4681;2009;1-4285-4500-X;157
Pattern Recognit. Lett.;26;2005;0-7378-5240-2;178
IEEE Wirel. Commun.;5;1998;1-897475-28-4;382
Comput. Law Secur. Rev.;7;1991;0-7282-3382-7;359
Rev. Colomb. de Computación;2;2001;0-425-10901-1;368
CoRR;abs/2012.10125;2020;0-693-93756-4;368
Math. Log. Q.;30;1984;0-651-57780-2;241
CoRR;abs/2110.02284;2021;1-172-26770-7;350
CoRR;abs/1807.01093;2018;1-876484-90-X;335
Ann. Pure Appl. Log.;130;2004;0-17-951523-3;119
CoRR;abs/2008.06626;2020;0-9636697-8-8;383
Int. J. Inf. Commun. Technol.;17;2020;0-7374-0777-8;250
CoRR;abs/2009.05015;2020;1-5026-2384-6;347
Mach. Learn.;45;2001;0-477-05023-9;330
CoRR;abs/2010.06509;2020;1-992810-10-9;162
Signal Process.;83;2003;1-73058-684-8;399
Int. J. Mach. Learn. Cybern.;11;2020;1-4830-7321-1;297
CoRR;abs/1110.0477;2011;0-334-15925-3;229
Numerische Mathematik;143;2019;1-61842-726-1;372
Neurocomputing;126;2014;0-7093-7853-X;249
J. Comb. Theory, Ser. B;125;2017;1-5289-7670-3;165
Comput. Oper. Res.;21;1994;0-15-380404-1;344
Appl. Math. Comput.;206;2008;1-232-51533-7;352
J. Intell. Robotic Syst.;32;2001;0-9563155-5-0;383
Eur. J. Law Technol.;12;2021;1-128-65189-0;391
Int. J. Inf. Commun. Technol.;2;2009;0-08-430030-2;315
CoRR;abs/2104.07029;2021;1-62486-599-2;381
CoRR;abs/1903.08863;2019;1-84733-018-5;180
Future Gener. Comput. Syst.;56;2016;1-5129-3236-1;287
CoRR;abs/1909.00412;2019;0-9862520-7-7;282
CoRR;abs/1508.05572;2015;1-199-40575-2;127
CoRR;abs/1610.08717;2016;1-74451-850-5;204
Inf. Syst.;104;2022;0-388-97099-5;105
Appl. Math. Comput.;110;2000;1-79716-761-8;351
CoRR;abs/2110.00548;2021;1-275-25602-3;373
Inf. Comput.;84;1990;1-85038-594-7;186
IEEE Trans. Vis. Comput. Graph.;16;2010;0-590-43956-1;241
Discret. Math. Theor. Comput. Sci.;14;2012;0-561-72013-4;218
CoRR;abs/1709.02917;2017;0-87363-619-8;137
CoRR;abs/1711.04121;2017;0-9966568-9-8;330
CoRR;abs/2003.13508;2020;0-510-74328-5;168
IEEE Commun. Mag.;47;2009;0-595-41819-8;258
Ann. Oper. Res.;159;2008;1-74931-380-4;198
CoRR;abs/1710.04744;2017;1-119-81672-6;369
Displays;29;2008;1-7367816-5-0;171
Libr. Hi Tech;34;2016;0-9846640-3-3;352
IEEE Trans. Computers;37;1988;0-08-710592-6;140
J. Inf. Secur. Appl.;43;2018;0-252-32855-8;383
J. Comput. Chem.;17;1996;0-590-10896-4;342
Neural Networks;21;2008;0-585-03149-5;354
Scholarpedia;10;2015;0-7129-9806-3;181
Inf. Comput.;185;2003;0-645-93387-2;378
CoRR;abs/1411.4733;2014;0-695-74295-7;186
J. Parallel Distributed Comput.;118;2018;0-317-27335-3;224
Comput. Aided Des.;45;2013;1-909565-52-0;227
Memetic Comput.;5;2013;1-126-33064-7;384
CoRR;abs/1412.6769;2014;0-659-06891-5;262
Comput. Ind. Eng.;133;2019;0-650-76657-1;296
Biosyst.;90;2007;0-577-33117-5;152
CoRR;abs/2106.13843;2021;1-303-55878-5;189
Discret. Appl. Math.;117;2002;1-934938-89-0;227
CoRR;abs/1701.00237;2017;0-398-00875-2;360
J. Intell. Robotic Syst.;48;2007;1-78186-444-6;376
Int. J. Electron. Heal.;3;2007;0-430-09138-9;326
IEEE Micro;14;1994;1-00-358731-3;271
Comput. Intell.;35;2019;1-55583-083-8;213
Robotersysteme;6;1990;1-212-07896-9;282
J. Heuristics;11;2005;1-970495-76-6;115
IRE Trans. Inf. Theory;7;1961;0-7558-9943-1;184
Int. J. Pervasive Comput. Commun.;2;2006;1-399-26992-5;272
EPJ Data Sci.;4;2015;1-118-24874-0;147
CoRR;abs/1010.1648;2010;0-436-92779-9;141
CoRR;abs/2008.00307;2020;0-246-51131-1;157
RFC;5223;2008;1-5035-6692-7;222
Wirel. Networks;16;2010;0-04-362539-8;155
SIAM J. Optim.;23;2013;1-01-874284-0;201
J. Assoc. Inf. Sci. Technol.;65;2014;0-253-04898-2;175
Int. Trans. Oper. Res.;27;2020;0-561-56305-5;149
Int. J. Agent Technol. Syst.;5;2013;1-373-31484-2;339
Intell. Decis. Technol.;14;2020;0-475-27683-3;275
EURASIP J. Wirel. Commun. Netw.;2016;2016;0-7176-6985-8;358
IEEE Trans. Pattern Anal. Mach. Intell.;12;1990;1-65730-354-3;398
Multim. Syst.;19;2013;0-08-576815-4;187
CoRR;abs/1701.03522;2017;0-279-64123-0;366
Int. J. Granul. Comput. Rough Sets Intell. Syst.;1;2009;0-944011-44-6;367
CoRR;abs/2107.05378;2021;1-952115-60-4;249
J. Numer. Cogn.;2;2016;1-05-015556-4;234
IEEE J. Sel. Areas Commun.;16;1998;1-61455-914-7;340
J. Symb. Log.;74;2009;1-72603-319-8;139
Eur. J. Oper. Res.;236;2014;1-61621-991-2;117
Wirel. Pers. Commun.;112;2020;0-379-25090-X;211
MIS Q.;9;1985;1-67723-594-2;126
CoRR;abs/2002.00287;2020;1-82499-589-X;341
Comput. Ind. Eng.;80;2015;0-227-46018-9;290
CoRR;abs/1306.4454;2013;1-86437-927-8;159
CoRR;abs/1409.1726;2014;0-18-378643-2;384
Program. Comput. Softw.;44;2018;0-87027-242-X;171
NeuroImage;80;2013;0-949443-04-2;269
Comput. Medical Imaging Graph.;33;2009;1-4544-0260-1;328
J. Vis. Commun. Image Represent.;17;2006;1-75544-265-3;340
Requir. Eng.;6;2002;1-62825-910-8;313
IEEE Trans. Autom. Control.;39;1994;1-114-60801-7;392
CoRR;abs/1811.02134;2018;0-642-23035-8;397
Discret. Math.;43;1983;1-183-05270-7;123
CoRR;abs/1909.05151;2019;1-72724-649-7;193
Electron. Colloquium Comput. Complex.;25;2018;1-4416-7128-5;265
CoRR;abs/1905.13476;2019;1-5345-2133-X;238
J. Inf. Sci.;45;2019;1-5263-9159-7;188
CoRR;abs/1902.07153;2019;1-362-67734-5;152
ACM Trans. Math. Softw.;3;1977;1-4589-6841-3;312
Pattern Recognit. Lett.;152;2021;0-579-28580-4;230
CoRR;abs/1410.8566;2014;0-330-60776-6;293
CoRR;abs/1301.3547;2013;1-80464-142-1;209
Trans. Edutainment;3;2009;0-9520075-5-X;270
Comput. Speech Lang.;15;2001;1-910085-34-0;252
Int. J. Adult Vocat. Educ. Technol.;8;2017;0-404-96669-1;114
Electron. Notes Theor. Comput. Sci.;296;2013;1-68793-638-2;357
J. Mach. Learn. Res.;6;2005;0-525-65822-X;322
IEEE Trans. Signal Process.;39;1991;0-575-47577-3;135
J. Chem. Inf. Comput. Sci.;37;1997;0-495-38781-9;197
CoRR;abs/1401.2200;2014;0-08-413763-0;165
J. Appl. Probab.;52;2015;0-495-65783-2;338
IEEE Trans. Autom. Control.;45;2000;1-899591-64-8;174
Discret. Math.;156;1996;1-4157-0279-9;196
CoRR;abs/1209.0999;2012;0-457-89683-3;174
CoRR;abs/2106.03567;2021;1-249-99230-3;400
CoRR;abs/2103.08828;2021;0-365-22184-8;108
Found. Comput. Math.;17;2017;1-261-47926-2;149
Frontiers Comput. Neurosci.;6;2012;0-8203-8768-1;339
J. Comput. Sci.;51;2021;0-447-85896-3;314
CoRR;abs/cs/0601018;2006;1-5103-6385-8;206
Int. J. Child Comput. Interact.;21;2019;0-902055-19-4;172
Mach. Learn. Sci. Technol.;2;2021;0-434-62612-0;353
CoRR;abs/1512.07402;2015;1-06-754115-2;281
Int. J. Eng. Pedagog.;3;2013;1-918755-39-6;171
CoRR;abs/1610.09769;2016;1-123-32232-5;151
